word,is_palindrome
this,0
but,0
his,0
by,0
from,0
they,0
we,0
say,0
her,0
she,0
or,0
an,0
will,0
my,0
one,0
all,0
would,0
there,0
their,0
what,0
so,0
up,0
out,0
if,0
about,0
who,0
get,0
which,0
go,0
me,0
when,0
make,0
can,0
like,0
time,0
no,0
just,0
him,0
know,0
take,0
people,0
into,0
year,0
your,0
good,0
some,0
could,0
them,0
see,0
other,0
than,0
then,0
now,0
look,0
only,0
come,0
its,0
over,0
think,0
also,0
back,0
after,0
use,0
two,0
how,0
our,0
work,0
first,0
well,0
way,0
even,0
new,0
want,0
because,0
any,0
these,0
give,0
day,0
most,0
us,0
man,0
state,0
never,0
here,0
life,0
tell,0
part,0
child,0
world,0
school,0
point,0
home,0
form,0
water,0
room,0
against,0
place,0
cat,0
dog,0
bird,0
cow,0
horse,0
sheep,0
goat,0
pig,0
lion,0
tiger,0
bear,0
shark,0
whale,0
dolphin,0
elephant,0
monkey,0
rabbit,0
mouse,0
deer,0
fox,0
apple,0
banana,0
orange,0
potato,0
tomato,0
cheese,0
bread,0
rice,0
pasta,0
meat,0
fish,0
egg,0
milk,0
sugar,0
salt,0
pepper,0
oil,0
butter,0
honey,0
jam,0
cake,0
red,0
blue,0
green,0
yellow,0
purple,0
brown,0
black,0
white,0
gray,0
pink,0
cyan,0
london,0
paris,0
berlin,0
rome,0
madrid,0
tokyo,0
beijing,0
delhi,0
cairo,0
nairobi,0
mother,0
father,0
sister,0
brother,0
daughter,0
son,0
aunt,0
uncle,0
cousin,0
niece,0
nephew,0
grandma,0
grandpa,0
head,0
heart,0
hand,0
arm,0
ear,0
nose,0
mouth,0
sun,0
rain,0
snow,0
wind,0
storm,0
car,0
bike,0
bus,0
train,0
plane,0
is,0
was,0
are,0
has,0
more,0
were,0
had,0
it's,0
been,0
don't,0
i'm,0
said,0
much,0
very,0
where,0
should,0
may,0
need,0
really,0
right,0
years,0
being,0
too,0
going,0
before,0
off,0
why,0
made,0
still,0
got,0
many,0
those,0
down,0
great,0
through,0
you're,0
last,0
that's,0
while,0
best,0
such,0
love,0
long,0
something,0
can't,0
same,0
used,0
both,0
every,0
am,0
three,0
around,0
between,0
always,0
better,0
find,0
help,0
high,0
little,0
old,0
since,0
another,0
does,0
own,0
things,0
under,0
during,0
game,0
i've,0
thing,0
house,0
again,0
next,0
each,0
mr,0
without,0
didn't,0
end,0
found,0
must,0
show,0
big,0
feel,0
sure,0
team,0
ever,0
family,0
keep,0
might,0
please,0
put,0
money,0
free,0
second,0
someone,0
away,0
left,0
number,0
city,0
days,0
lot,0
name,0
night,0
play,0
until,0
company,0
doing,0
few,0
he's,0
let,0
real,0
called,0
different,0
having,0
set,0
thought,0
done,0
however,0
getting,0
god,0
government,0
group,0
looking,0
public,0
top,0
women,0
business,0
care,0
start,0
system,0
times,0
week,0
already,0
anything,0
case,0
nothing,0
person,0
today,0
change,0
enough,0
everything,0
full,0
live,0
making,0
read,0
there's,0
told,0
yet,0
bad,0
doesn't,0
four,0
hard,0
mean,0
once,0
support,0
including,0
music,0
power,0
seen,0
states,0
stop,0
based,0
believe,0
call,0
men,0
national,0
small,0
took,0
came,0
far,0
job,0
side,0
though,0
try,0
went,0
yes,0
actually,0
american,0
later,0
less,0
line,0
order,0
party,0
run,0
says,0
service,0
country,0
open,0
season,0
shit,0
thank,0
children,0
everyone,0
general,0
they're,0
trying,0
united,0
using,0
area,0
following,0
law,0
makes,0
together,0
war,0
whole,0
face,0
five,0
kind,0
maybe,0
per,0
president,0
story,0
working,0
course,0
games,0
health,0
hope,0
important,0
least,0
means,0
news,0
within,0
able,0
book,0
early,0
friends,0
i'll,0
information,0
local,0
oh,0
post,0
thanks,0
video,0
young,0
ago,0
others,0
social,0
talk,0
court,0
fact,0
given,0
guys,0
half,0
isn't,0
mind,0
often,0
single,0
become,0
body,0
coming,0
control,0
death,0
food,0
guy,0
hours,0
office,0
pay,0
problem,0
south,0
true,0
we're,0
almost,0
fuck,0
history,0
known,0
large,0
lost,0
research,0
several,0
started,0
taking,0
university,0
win,0
wrong,0
along,0
anyone,0
else,0
girl,0
john,0
matter,0
pretty,0
remember,0
air,0
bit,0
friend,0
hit,0
needs,0
nice,0
playing,0
probably,0
saying,0
understand,0
yeah,0
york,0
class,0
close,0
comes,0
i'd,0
idea,0
international,0
looks,0
past,0
possible,0
wanted,0
cause,0
due,0
happy,0
human,0
members,0
months,0
move,0
question,0
series,0
wait,0
woman,0
ask,0
community,0
data,0
late,0
leave,0
north,0
saw,0
special,0
watch,0
won't,0
either,0
fucking,0
future,0
light,0
low,0
million,0
morning,0
police,0
short,0
stay,0
taken,0
age,0
buy,0
deal,0
rather,0
reason,0
report,0
soon,0
third,0
turn,0
whether,0
among,0
check,0
development,0
further,0
minutes,0
myself,0
services,0
u.s,0
yourself,0
act,0
although,0
asked,0
fire,0
fun,0
living,0
major,0
media,0
phone,0
players,0
art,0
behind,0
building,0
easy,0
gonna,0
market,0
near,0
plan,0
political,0
quite,0
six,0
talking,0
west,0
works,0
according,0
available,0
education,0
final,0
former,0
front,0
kids,0
list,0
ready,0
sometimes,0
street,0
wasn't,0
bring,0
college,0
current,0
example,0
experience,0
heard,0
meet,0
program,0
type,0
baby,0
chance,0
march,0
process,0
she's,0
song,0
study,0
word,0
across,0
action,0
clear,0
gave,0
gets,0
himself,0
month,0
outside,0
self,0
students,0
words,0
board,0
cost,0
cut,0
dr,0
field,0
held,0
instead,0
main,0
moment,0
road,0
seems,0
thinking,0
town,0
wants,0
de,0
department,0
energy,0
fight,0
fine,0
force,0
hear,0
issue,0
played,0
points,0
price,0
re,0
rest,0
results,0
running,0
shows,0
space,0
summer,0
term,0
wife,0
america,0
beautiful,0
date,0
goes,0
killed,0
land,0
miss,0
project,0
sex,0
shot,0
site,0
strong,0
you'll,0
account,0
co,0
especially,0
eyes,0
include,0
june,0
parents,0
period,0
position,0
record,0
similar,0
total,0
above,0
club,0
common,0
died,0
film,0
happened,0
knew,0
lead,0
likely,0
military,0
perfect,0
personal,0
security,0
share,0
st,0
tv,0
what's,0
won,0
april,0
center,0
county,0
couple,0
